,model_number,model_success,ctg
0,0,0.0,10.877833740606437
1,100,0.0,9.876534881532294
2,200,0.0,9.585241801145637
3,300,0.0,9.511175058142067
4,400,0.0,9.408416542599841
5,500,0.0,9.449643589344218
6,600,0.0,9.367527156543975
7,700,0.0,9.063031932142392
8,800,0.0,9.248648184417505
9,900,0.0,9.057118471369527
10,1000,3.0,9.093868611235882
11,1100,0.0,9.394851396842633
12,1200,0.0,9.003362235198253
13,1300,0.0,8.245087448596157
14,1400,26.7,9.343148575424095
15,1500,35.6,8.590856802390228
16,1600,15.8,8.986327637389083
17,1700,52.5,9.181818477131111
18,1800,32.7,9.318674754339186
19,1900,6.9,8.777561764504062
20,2000,4.0,8.47954366960346
21,2100,24.8,8.587715033551161
22,2200,17.8,9.412859164630627
23,2300,21.8,9.060982382655835
24,2400,6.9,9.400481834538631
25,2500,1.0,9.017885850516102
26,2600,0.0,8.965054463507135
27,2700,6.9,8.910540265432477
28,2800,0.0,9.161134228587088
29,2900,0.0,9.149389809227037
30,3000,0.0,9.026314743873284
31,3100,0.0,8.831574845289294
32,3200,1.0,9.02815306930844
33,3300,0.0,8.729908471506407
34,3400,1.0,9.078352726248303
35,3500,6.9,8.939377141504604
36,3600,23.8,9.748219803777134
37,3700,12.9,9.125067596432864
38,3800,0.0,9.298995384542657
