,model_number,model_success,ctg
0,100,0.0,10.137355076242379
1,200,0.0,9.376019142589813
2,300,0.0,9.090686199118288
3,400,0.0,9.571228041339207
4,500,0.0,8.455083555972829
5,600,0.0,9.296796502799992
6,700,0.0,8.913788815878133
7,800,0.0,8.71610103583405
8,900,0.0,9.400538570846743
9,1000,0.0,8.580088769704336
10,1100,1.0,8.693263931364452
11,1200,17.8,8.4470646160955
12,1300,0.0,8.731428366053064
13,1400,0.0,8.912751996456686
14,1500,0.0,9.362578987654425
15,1600,2.0,8.966546776586917
16,1700,11.9,8.72561544097502
17,1800,0.0,9.377918267181355
18,1900,3.0,8.786313655374677
19,2000,0.0,9.170779096197
20,2100,0.0,9.311489746855841
21,2200,0.0,8.580280709095588
22,2300,0.0,9.07764378491473
23,2400,1.0,8.844731549781494
24,2500,0.0,9.054357145069886
25,2600,0.0,9.343056577228749
26,2700,0.0,9.190065016159487
27,2800,0.0,9.215989711029598
28,2900,0.0,8.706620409094521
29,3000,0.0,8.985102483908166
30,3100,0.0,8.945236044817257
31,3200,0.0,8.985958337919396
32,3300,0.0,8.993273346658807
33,3400,0.0,9.177756269215166
34,3500,0.0,8.908925908372439
35,3600,1.0,9.349044818950668
36,3700,0.0,9.046973727709076
37,3800,0.0,8.464452226282193
38,3900,2.0,8.53454714014826
39,4000,0.0,9.12024015401582
40,4100,4.0,9.041941476097147
41,4200,0.0,9.269496592677374
42,4300,0.0,8.853857767104667
43,4400,0.0,9.435160493963771
44,4500,0.0,9.375130614427631
45,4600,0.0,8.890668097838558
46,4700,1.0,9.438649986391246
47,4800,1.0,9.461993137139402
48,4900,14.9,9.207521461553606
49,5000,2.0,9.069721199451589
50,5100,0.0,9.653300499704589
51,5200,11.9,9.257133861647231
52,5300,18.8,9.158843823312054
53,5400,15.8,9.00005566961021
54,5500,5.9,9.631540769302733
55,5600,5.0,9.691128115923567
56,5700,9.9,9.31337436734126
57,5800,1.0,9.468561028069887
58,5900,2.0,9.389918720795063
59,6000,0.0,9.716199985132809
60,6100,2.0,9.45447116884922
61,6200,4.0,9.614115748204387
62,6300,1.0,10.068027703108566
63,6400,18.8,9.63006323395769
64,6500,1.0,9.38913281787328
65,6600,3.0,9.306321775539416
66,6700,8.9,10.034502469566297
67,6800,24.8,10.002537378331999
