,model_number,model_success,ctg
0,200,0.0,9.548669075957413
1,300,0.0,9.37730706292116
2,400,0.0,9.188369643720375
3,500,0.0,9.453573011043222
4,600,0.0,9.044771131655683
5,700,0.0,9.251756750228195
6,800,0.0,9.380340085465148
7,900,0.0,9.274804752244796
8,1000,0.0,8.69053251429403
9,1100,3.0,9.487362314415664
10,1200,9.9,8.852903840362519
11,1300,71.3,8.700370562366345
12,1400,3.0,9.01908847085611
13,1500,10.9,8.967839111697362
14,1600,0.0,9.154434421976086
15,1700,4.0,8.684243201902339
16,1800,3.0,8.265724536548522
17,1900,0.0,9.135301427953705
18,2000,4.0,9.171004263231424
19,2100,2.0,8.851968143552142
20,2200,13.9,9.676423236999039
21,2300,64.4,9.231508424377797
22,2400,46.5,8.570056421801832
23,2500,12.9,8.7753847869365
24,2600,40.6,9.089121178624204
25,2700,45.5,9.12277033239248
26,2800,1.0,8.459872980068889
27,2900,5.0,8.935210511290954
28,3000,8.9,9.302174752862532
29,3100,21.8,9.316799965042826
30,3200,2.0,8.890125723971252
31,3300,46.5,9.219645489199275
32,3400,61.4,9.244723706812202
33,3500,27.7,9.006957179879276
34,3600,57.4,9.187835901191274
35,3700,3.0,9.266789642179328
36,3800,50.5,9.45813175511237
37,3900,10.9,8.877356550612163
38,4000,63.4,9.25670737499354
39,4100,31.7,8.547671990659566
40,4200,13.9,8.944678860645707
41,4300,13.9,9.103361405910016
42,4400,29.7,9.010700965509859
43,4500,58.4,9.067532514745563
44,4600,9.9,9.182315662720068
45,4700,30.7,9.095627561566356
46,4800,35.6,8.713274559394991
47,4900,18.8,8.776549783353394
48,5000,0.0,9.222128693154984
49,5100,2.0,9.016335665258815
50,5200,55.4,8.884896216893178
51,5300,80.2,8.843129172994876
52,5400,1.0,8.890376948553124
53,5500,17.8,9.028109160883481
54,5600,7.9,9.81281806485496
55,5700,23.8,9.404498484149617
56,5800,1.0,9.487720820159735
57,5900,42.6,9.816964069146701
58,6000,6.9,8.806088918333838
59,6100,3.0,8.797776904714668
60,6200,25.7,9.973259571986468
61,6300,14.9,9.776278288794359
62,6400,4.0,9.288761048385135
63,6500,31.7,9.675780113844068
64,6600,4.0,9.151048785071412
65,6700,2.0,9.479597658094802
66,6800,17.8,8.895208233938632
67,6900,18.8,8.882169855246167
68,7000,25.7,10.359423905529212
69,7100,6.9,9.566413153454894
70,7200,17.8,9.436171660142081
71,7300,7.9,9.380605756149457
72,7400,15.8,9.774933865085542
73,7500,0.0,10.022746160353302
74,7600,11.9,9.86259121326584
75,7700,4.0,10.536176388308144
76,7800,10.9,9.964470868219786
77,7900,34.7,9.60029787372051
78,8000,13.9,9.174015403201938
79,8100,21.8,9.808233577559662
80,8200,1.0,9.662106761779048
81,8300,1.0,9.31220788027287
82,8400,0.0,9.348551371244794
83,8500,4.0,10.242704795990095
84,8600,4.0,9.048661217382925
85,8700,4.0,9.49817050216329
86,8800,0.0,9.98541367213234
87,8900,16.8,8.828180586252296
88,9000,36.6,9.48046295241477
89,9100,3.0,9.769308776658727
90,9200,3.0,10.194174254526411
91,9300,6.9,10.399142799238893
92,9400,4.0,9.92053352480373
93,9500,14.9,9.425653052045545
94,9600,10.9,9.60247310965568
95,9700,5.9,9.840434402111377
96,9800,7.9,9.768400589849263
97,9900,3.0,10.019654032034197
98,10000,4.0,9.742705012833634
